Noticia_EIA,fechas_noticia_EIA
S&P 500 implied volatility briefly surpassed that of crude oil in February,2018-03-12
Tight oil remains the leading source of future U.S. crude oil production,2018-02-22
Recent legislation mandates additional sales of U.S. Strategic Petroleum Reserve crude oil,2018-02-21
"U.S. proved reserves of natural gas up in 2016, oil reserves remained unchanged",2018-02-15
The United States is projected to become a net energy exporter in most AEO2018 cases,2018-02-12
China surpassed the United States as the world’s largest crude oil importer in 2017,2018-02-05
"U.S. monthly crude oil production exceeds 10 million barrels per day, highest since 1970",2018-02-01
Hydraulically fractured horizontal wells account for most new oil and natural gas wells,2018-01-30
U.S. crude oil exports increased following hurricane-related refinery disruptions,2018-01-29
EIA expects total U.S. fossil fuel production to reach record levels in 2018 and 2019,2018-01-18
EIA forecasts mostly flat crude oil prices and increasing global production through 2019,2018-01-11
"Crude oil prices increased in 2017, and Brent-WTI spread widened",2018-01-03
Production from offshore pre-salt oil deposits has increased Brazil’s oil production,2017-12-14
"United States, Canada, and Mexico launch North American Energy Information website",2017-12-01
Natural gas production in Bakken region increases at a faster rate than oil production,2017-11-28
Transportation constraints and export costs widen the Brent-WTI crude oil price spread,2017-11-15
"Russia exports most of its crude oil production, mainly to Europe",2017-11-14
Widening Brent-WTI price spread unlikely to change East Coast crude oil supply,2017-11-01
Crude oil and petroleum product exports reach record levels in the first half of 2017,2017-10-18
"U.S. crude oil production expected to increase through end of 2017, setting up record 2018",2017-10-16
U.S. federal government energy costs at lowest point since fiscal year 2004,2017-10-02
Changing quality mix is affecting crude oil price differentials and refining decisions,2017-09-21
Crude oil and natural gas production in Texas and Oklahoma's Anadarko Region is growing,2017-08-28
The Danish and Turkish Straits are critical to Europe’s crude oil and petroleum trade,2017-08-18
"The Strait of Malacca, a key oil trade chokepoint, links the Indian and Pacific Oceans",2017-08-11
Three important oil trade chokepoints are located around the Arabian Peninsula,2017-08-04
Maritime chokepoints are critical to global energy security,2017-08-01
U.S. crude oil production forecast expected to reach record high in 2018,2017-07-25
Brent and WTI crude oil prices expected to average about $50 per barrel through 2018,2017-07-13
Energy commodity prices declined more than other commodities in the first half of 2017,2017-07-07
U.S. exports of crude oil and petroleum products have more than doubled since 2010,2017-06-27
"Global oil markets expected to tighten in third quarter 2017, then loosen through 2018",2017-06-15
New pipeline infrastructure should accommodate expected rise in Permian oil production,2017-05-09
The API gravity of crude oil produced in the U.S. varies widely across states,2017-04-19
More Chinese crude oil imports coming from non-OPEC countries,2017-04-14
"Gulf of Mexico crude oil production, already at annual high, expected to keep increasing",2017-04-12
U.S. crude oil imports increased in 2016,2017-04-11
Total U.S. energy production falls in 2016 after six consecutive years of increases,2017-03-31
U.S. crude oil exports went to more destinations in 2016,2017-03-28
"Despite growth late in the year, U.S. crude oil production decreased in 2016",2017-03-20
Another type of crude oil to be included in calculation of the Brent price benchmark,2017-03-10
U.S. crude oil and natural gas production both fell in 2016,2017-03-08
Canada is the United States’ largest partner for energy trade,2017-03-01
"U.S. crude oil imports from Saudi Arabia and Iraq recently increased, but may decline soon",2017-02-24
U.S. crude oil production increases following higher drilling activity,2017-02-21
U.S. energy trade with Mexico: U.S. export value more than twice import value in 2016,2017-02-09
Strategic Petroleum Reserve sales expected to start this month,2017-01-26
Global crude oil balances expected to tighten through 2018,2017-01-25
Crude oil prices expected to increase slightly through 2017 and 2018,2017-01-12
"Crude oil prices increased in 2016, still below 2015 averages",2017-01-04
U.S. oil and natural gas proved reserves declined in 2015 because of lower prices,2016-12-15
Recent OPEC agreement reflected in EIA forecast issued earlier this week,2016-12-09
"U.S. crude oil production in 2015 was the highest since 1972, but has since declined",2016-11-07
"U.S. energy production, consumption has changed significantly since 1908",2016-11-01
Low tanker rates are enabling more long-distance crude oil and petroleum product trade,2016-10-27
Offshore production nearly 30% of global crude oil output in 2015,2016-10-25
"Short positions in U.S. crude oil futures held by producers, merchants at nine-year high",2016-10-24
"U.S. crude oil imports increase during first half of 2016, the first increase since 2010",2016-10-21
"On Thursday, EIA’s weekly crude oil inventory will be presented without lease stocks",2016-10-11
Gasoline prices prior to Labor Day lowest in 12 years,2016-09-02
Crude oil disruptions in Nigeria increase as a result of militant attacks,2016-08-18
U.S. crude oil exports are increasing and reaching more destinations,2016-08-16
Oil and natural gas production jobs in May were 26% lower than in October 2014,2016-08-05
Crude-by-rail volumes to the East Coast are declining,2016-08-03
New EIA website spotlights key drivers of petroleum product prices,2016-08-01
India continues developing its strategic petroleum reserve as its oil imports grow,2016-07-19
U.S. oil companies closer to balancing capital investment with operating cash flow,2016-07-18
EIA projects rise in U.S. crude oil and other liquid fuels production beyond 2017,2016-07-11
"Panama Canal expansion unlikely to significantly change crude oil, petroleum product flows",2016-06-23
U.S. crude oil storage capacity utilization rises even as storage capacity grows,2016-06-22
Unplanned global oil supply disruptions reach highest level since at least 2011,2016-06-09
"Recent data show divergent trends for rail shipments of crude oil, ethanol, and biodiesel",2016-06-03
United States remains largest producer of petroleum and natural gas hydrocarbons,2016-05-23
Crude oil volatility decreases as prices rise from early 2016 levels,2016-05-10
Recent U.S. imports of oil tend to be heavier than domestic production,2016-05-06
Declining energy prices lower the cost of living,2016-05-03
Expected decrease in Lower 48 oil production is partially offset by rising GOM output,2016-04-20
Total U.S. energy production increases for sixth consecutive year,2016-04-18
Canada provides record-high share and amount of U.S. crude oil imports in 2015,2016-04-12
Wells drilled since start of 2014 provided nearly half of Lower 48 oil production in 2015,2016-03-22
Hydraulic fracturing accounts for about half of current U.S. crude oil production,2016-03-15
Crude oil shipments by rail from Midwest to coastal regions decline,2016-03-11
"U.S. oil production continues to decline, and is now below its year-ago level",2016-03-09
Oil production in federal Gulf of Mexico projected to reach record high in 2017,2016-02-18
"New EIA data revise Oklahoma’s oil production up by 100,000 barrels per day",2016-02-12
U.S. mining and exploration investment declined 35% in 2015,2016-02-10
High inventories help push crude oil prices to lowest levels in 13 years,2016-02-04
Oman is the largest non-OPEC oil producer in the Middle East,2016-01-21
Iran’s petroleum production expected to increase as sanctions are lifted,2016-01-19
U.S. average gasoline price falls below $2.00 per gallon for first time since 2009,2016-01-14
Crude oil prices to remain relatively low through 2016 and 2017,2016-01-13
U.S. gasoline prices in 2015 were lowest since 2009,2016-01-07
"Crude oil prices started 2015 relatively low, ended the year lower",2016-01-06
Mexican crude oil shipments to Europe and Asia are rising as U.S. imports fall,2015-12-11
New legislation affects U.S. Strategic Petroleum Reserve,2015-12-09
"Crude oil storage and capacity have increased in Cushing, Oklahoma and U.S. Gulf Coast",2015-12-03
EIA expands monthly reporting of crude oil production with new data on API gravity,2015-12-01
North Dakota natural gas flaring targets challenged by rapid production growth,2015-11-13
"As total U.S. crude oil imports fall, Canada’s import supply share rises",2015-11-12
"With increased regulation, continued decline in residual fuel oil demand is expected",2015-10-09
July petroleum data show challenges in the reporting of processed condensate exports,2015-10-01
"Natural gas prices in Asia mainly linked to crude oil, but use of spot indexes increases",2015-09-29
U.S. Gulf of Mexico share of global active offshore rigs declines since 2000,2015-09-22
Crude oil swaps with Mexico could provide economic and environmental benefits,2015-09-10
Saudi Arabia maintained crude oil market share in Asia in the first half of 2015,2015-09-09
"Effects of removing U.S. crude export restrictions depend on price, resource assumptions",2015-09-02
EIA improves monthly reporting of crude oil production,2015-08-31
Reduced offshore share in U.S. oil and natural gas production lowers risk from hurricanes,2015-08-28
Growing global liquids inventories reflect lower crude oil prices,2015-08-24
EIA lowers crude oil price forecast through 2016,2015-08-19
Nuclear accord creates potential for additional crude oil production from Iran,2015-08-13
Rail helps make Midwest a net shipper of crude oil,2015-08-10
U.S. refineries are running at record-high levels,2015-08-07
Russia is world's largest producer of crude oil and lease condensate,2015-08-06
Average diesel retail price below gasoline price for first time in six years,2015-07-23
"In Rocky Mountain region, increased crude production is being shipped by pipeline, rail",2015-07-15
"EIA’s estimates for state crude oil production account for incomplete, lagged data",2015-07-10
U.S. refinery capacity reaches 18 million barrels per day,2015-06-25
"Under sanctions, Iran’s crude oil exports have nearly halved in three years",2015-06-24
U.S. crude oil production growth helps reduce Gulf Coast imports,2015-06-22
Refiner margins unable to fully offset low upstream earnings for integrated oil companies,2015-06-17
EIA’s mapping system highlights energy infrastructure across the United States,2015-06-16
Oil exploration in the U.S. Arctic continues despite current price environment,2015-06-12
Crude by rail provides the West Coast with supply as regional crude oil production falls,2015-06-09
"New data series show more detail for crude oil stocks, storage by region",2015-06-08
"Increases in U.S. crude oil production are predominantly light, sweet crude",2015-06-04
Crude oil adjustment balances independently developed supply and disposition components,2015-06-02
"Low crude oil prices, increased gasoline demand lead to high refiner margins",2015-05-20
Implications of higher domestic crude production for U.S. refining,2015-05-07
Crude by rail accounts for more than half of East Coast refinery supply in February,2015-05-05
Energy resource permanent funds vary by purpose and state,2015-04-30
EIA report highlights top 100 U.S. oil and natural gas fields,2015-04-24
Oil trade off Yemen coast grew by 20% to 4.7 million barrels per day in 2014,2015-04-23
Increasing domestic production of crude oil reduces net petroleum imports,2015-04-21
U.S. remained world's largest producer of petroleum and natural gas hydrocarbons in 2014,2015-04-07
New EIA monthly data track crude oil movements by rail,2015-03-31
U.S. oil production growth in 2014 was largest in more than 100 years,2015-03-30
Upstream capital expenditure declined 12% year-over-year in fourth-quarter 2014,2015-03-25
"Crude oil storage at Cushing, but not storage capacity utilization rate, at record level",2015-03-23
U.S. commercial crude oil inventories now provide the most days of supply since 1985,2015-03-19
U.S. crude oil storage capacity utilization now up to 60%,2015-03-04
Oil production in federal Gulf of Mexico expected to continue increasing,2015-03-03
EIA tracking tool shows light-sweet crude oil imports to Gulf Coast virtually eliminated,2015-02-10
Increase in average gasoline prices ends 17-week streak of declining prices,2015-02-03
Currency depreciation against the dollar affects oil importers and exporters differently,2015-01-23
Regional refinery trends evolve to accommodate increased domestic crude oil production,2015-01-15
Market expectations of oil price uncertainty have increased in recent months,2015-01-14
Crude oil prices down sharply in fourth quarter of 2014,2015-01-06
Energy had larger price declines than most nonenergy commodities in 2014,2015-01-05
"Despite lower crude oil prices, U.S. crude oil production expected to grow in 2015",2014-12-12
"U.S. oil reserves continue rising, surpass 36 billion barrels for first time since 1975",2014-12-05
World oil transit chokepoints critical to global energy security,2014-12-01
Crude oil and lease condensate production at highest volume since 1986,2014-11-17
Rail shipments of oil and petroleum products through October up 13% over year-ago period,2014-11-13
U.S. gasoline prices move with Brent rather than WTI crude oil,2014-11-03
Crude exports and re-exports continue to rise; some volumes sent to Europe and Asia,2014-10-31
Benchmarks play an important role in pricing crude oil,2014-10-28
Net energy imports as share of consumption at lowest level in 29 years,2014-10-10
"Lower demand, higher supply drive oil prices to lowest level since 2012",2014-10-08
Saudi Arabia uses largest amount of crude oil for power generation since 2010,2014-09-24
Russia looks beyond West Siberia for future oil and natural gas growth,2014-09-19
Rail deliveries of U.S. oil continue to increase in 2014,2014-08-28
Energy reform could increase Mexico’s long-term oil production by 75%,2014-08-25
Average Brent crude oil prices trade within $5 per barrel range for 13 months in a row,2014-08-21
August differentials offer insight into Aramco’s oil pricing,2014-08-08
Bakken fuels North Dakota’s oil production growth,2014-08-04
Oil prices drive projected enhanced oil recovery using carbon dioxide,2014-07-30
U.S. petroleum refineries running at record levels,2014-07-24
"Wyoming, Gulf of Mexico dominate fossil fuels production on federal and Indian lands",2014-07-08
Production of fossil fuels from federal and Indian lands fell in 2013,2014-07-07
A perspective on U.S. gasoline prices heading into Fourth of July weekend,2014-07-02
North Dakota and Texas now provide nearly half of U.S. crude oil production,2014-07-01
U.S. crude exports in April rise to highest level in 15 years,2014-06-16
Gulf of Mexico 2014 production shut in by storms seen higher than last year,2014-06-12
Crude-by-rail transportation provides Bakken Shale production access to major markets,2014-06-10
"Increases in U.S. crude oil production come from light, sweet crude from tight formations",2014-06-06
NOAA predicts relatively quiet Atlantic hurricane season,2014-06-04
China promotes both fuel efficiency and alternative-fuel vehicles to curb growing oil use,2014-05-13
Gulf Coast crude oil inventories reach record level,2014-04-17
Lower prices pull down natural gas reserves in 2012,2014-04-11
Crude oil reserves at start of 2013 reach highest level since 1976,2014-04-10
"U.S. crude oil imports fall, but share of top three suppliers highest in four decades",2014-04-04
Five states and the Gulf of Mexico produce more than 80% of U.S. crude oil,2014-03-31
Tight oil production pushes U.S. crude supply to over 10% of world total,2014-03-26
Brent crude oil trading range in 2013 was narrowest since 2006,2014-03-04
Gasoline prices moved in tight range in 2013,2014-01-10
Change in energy prices mixed in 2013 as prices of nonenergy commodities fell,2014-01-06
Gasoline prices this Thanksgiving lower than a year ago,2013-11-27
Recent production growth from presalt resources increases Brazil’s total crude output,2013-11-13
Enhanced oil recovery techniques helped Oman reverse recent production declines,2013-11-01
Highlights of new Drilling Productivity Report,2013-10-22
EIA to release new Drilling Productivity Report,2013-10-21
U.S.  expected to be largest producer of petroleum and natural gas hydrocarbons in 2013,2013-10-04
Summer maintenance affects North Sea crude oil production and prices,2013-08-29
Spread narrows between Brent and WTI crude oil benchmark prices,2013-08-05
Proved reserves of crude oil and natural gas in the United States up sharply in 2011,2013-08-01
Natural gas liquids prices trend down since the start of 2012,2013-07-29
Price difference between Brent and WTI crude oil narrowing,2013-06-28
U.S. crude oil production could reach 10 million barrels per day by 2040,2013-06-14
A number of western states increased oil production since 2010,2013-05-21
"Mexico Week: Crude oil moving north, products moving south characterizes U.S.-Mexico trade",2013-05-15
This year's gasoline price increase not unusual,2013-04-22
Concentration of U.S. crude oil imports among top five suppliers highest since 1997,2013-04-19
January 2013 crude oil export to China was a rare event,2013-04-16
Average summer gasoline prices expected to be slightly lower than in 2012,2013-04-10
The South China Sea is an important world energy trade route,2013-04-04
Contested areas of South China Sea likely have few conventional oil and gas resources,2013-04-03
U.S. crude oil production on track to surpass imports for first time since 1995,2013-03-20
Bakken crude oil price differential to WTI narrows over last 14 months,2013-03-19
"North Dakota oil production reaches new high in 2012, transported by trucks and railroads",2013-03-18
"U.S. crude oil production tops 7 million barrels per day, highest since December 1992",2013-02-28
Why have gasoline prices risen since the start of the year?,2013-02-25
Gulf Coast crude stocks generally fall sharply in December because of inventory taxes,2013-02-19
EIA begins posting daily energy prices on Today in Energy webpage,2013-02-07
"Rail traffic reflects more oil production, less coal-fired electricity generation",2013-02-05
Stretches of Upper Mississippi River near record-low levels,2013-01-30
Political risks focus attention on supply of Venezuelan oil to the United States,2013-01-22
2012 Brief: Retail gasoline prices vary significantly across the country,2013-01-11
2012 Brief: Average 2012 crude oil prices remain near 2011 levels,2013-01-10
2012 Brief: Coal and mid-continent crude oil prices declined during 2012,2013-01-07
"Energy Perspectives: For most fuel sources, domestic production has been increasing",2012-12-13
U.S. monthly crude oil production reaches highest level since 1998,2012-12-04
Canada Week: Canada is the leading supplier of crude oil to the United States,2012-11-28
Non-OPEC oil supply outages remain above year-ago level,2012-11-08
New application of existing techniques in old fields helps Russia increase oil production,2012-10-12
EIA improves state-level monthly oil production estimates with up to 10 years of revisions,2012-10-09
Increases in oil prices affect broader measures of inflation,2012-09-28
Iraqi crude oil production approaching highest level in decades,2012-09-27
Attributes of crude oil at U.S. refineries vary by region,2012-09-26
Pad drilling and rig mobility lead to more efficient drilling,2012-09-11
Strait of Hormuz is chokepoint for 20% of world’s oil,2012-09-05
Hurricane Isaac affects U.S. Gulf Coast energy infrastructure,2012-08-29
North Dakota crude oil production continues to rise,2012-08-15
Estimated U.S. gasoline consumption low compared to five-year average,2012-08-13
EIA has updated Gulf of Mexico energy statistics,2012-08-07
Biodiesel demand estimates now provided in  petroleum supply and demand balances,2012-08-06
U.S. proved reserves increased sharply in 2010,2012-08-02
Rail deliveries of oil and petroleum products up 38% in first half of 2012,2012-07-26
Much of the country’s refinery capacity is concentrated along the Gulf Coast,2012-07-19
April 2012 sets U.S. monthly record for distillate net exports,2012-07-18
Crude oils have different quality characteristics,2012-07-16
Rising production in the Permian basin,2012-07-10
Crude oil distillation and the definition of refinery capacity,2012-07-05
AEO2012 considers three cases for the future of world oil prices,2012-06-28
Drop in U.S. gasoline prices reflects decline in crude oil costs,2012-06-26
North American spot crude oil benchmarks likely diverging due to bottlenecks,2012-06-21
"Working crude oil storage capacity at Cushing, Oklahoma rises",2012-06-15
U.S. crude oil production in first quarter of 2012 highest in 14 years,2012-06-08
OPEC spare capacity in the first quarter of 2012 at lowest level since 2008,2012-05-24
Eagle Ford oil and natural gas well starts rose sharply in first quarter 2012,2012-04-23
What are natural gas liquids and how are they used?,2012-04-20
Williston Basin crude oil production and takeaway capacity are increasing,2012-04-17
Price ratio of crude oil to natural gas continues to increase,2012-04-13
U.S. imports of Nigerian crude oil have continued to decline in 2012,2012-04-10
Regional differences for cost of crude oil to refiners widened in 2011,2012-04-06
Spot crude prices near 12-month high; natural gas and power prices near 12-month low,2012-04-05
Cushing crude oil inventories rising in 2012,2012-04-04
"On a euro basis, Brent crude oil spot price surpasses prior record high",2012-03-28
Nearly 69% of U.S. crude oil imports originated from five countries in 2011,2012-03-27
Gasoline prices rise due to increased crude oil costs,2012-03-26
Refinery utilization rates react to economics in 2011,2012-03-20
U.S. crude oil imports drop to lowest level since 1999 as domestic oil production rises,2012-03-19
Five states accounted for about 56% of total U.S. crude oil production in 2011,2012-03-14
U.S. petroleum product exports exceeded imports in 2011 for first time in over six decades,2012-03-07
Review of developments in crude oil and product markets over the past two months,2012-03-01
WTI discount to Brent and premium to Bakken both rising in early 2012,2012-02-29
Retail gasoline prices in the Rocky Mountains fall as U.S. average prices rise,2012-02-14
"Tight oil, Gulf of Mexico deepwater drive projected increases in U.S. crude oil production",2012-02-08
PADD regions enable regional analysis of petroleum product supply and movements,2012-02-07
"Domestic supply of liquid fuels projected to increase, resulting in fewer imports",2012-01-26
"From 1980 to 2010, most regions contributed to growth in global crude oil production",2012-01-25
EIA issues AEO2012 Early Release,2012-01-23
2011 Brief: Brent crude oil averages over $100 per barrel in 2011,2012-01-12
2011 Brief: Energy commodity price trends varied widely during 2011,2012-01-09
The Strait of Hormuz is the world's most important oil transit chokepoint,2012-01-04
Spread between WTI and Brent prices narrows on signs of easing transportation constraints,2011-12-05
Rail delivery of crude oil and petroleum products rising,2011-11-16
Trends in Eagle Ford drilling highlight the search for oil and natural gas liquids,2011-11-03
Bakken formation oil and gas drilling activity mirrors development in the Barnett,2011-11-02
3:2:1 Crack spreads based on WTI & LLS crude oils have diverged in 2011,2011-10-31
"Recent gasoline and diesel prices track Brent and LLS, not WTI",2011-10-27
Cross-market relationships strengthened in the third quarter of 2011,2011-10-24
Gulf Coast oil and natural gas production recover after Tropical Storm Lee,2011-10-07
Summer 2011 gasoline price review,2011-10-03
United Kingdom natural gas and oil production continues decade-long decline,2011-09-21
Growth slows in U.S. ethanol production and consumption,2011-09-14
U.S. exports of petroleum products increase as markets become more globally integrated,2011-09-07
"Crude oil-directed weekly rig count surpassed 1,000",2011-09-06
EIA updates mapping tool relating hurricane path to energy infrastructure,2011-08-26
Crude oil movements from the Midwest to the Gulf Coast on the rise,2011-08-24
"Recently, S&P 500 Index and WTI crude oil futures price movements tracked each other",2011-08-22
January 2011 U.S. refining capacity was the highest in 29 years,2011-06-29
International Energy Agency members release strategic petroleum stocks,2011-06-24
"EIA provides new information on crude oil storage at Cushing, Oklahoma",2011-06-23
"EIA forecasts increased oil demand, need for additional supply from OPEC producers in 2011",2011-06-21
EIA highlights key factors in new energy and financial markets web page,2011-06-17
Canada is the United States' leading crude oil supplier,2011-06-14
Is the seasonal gasoline price peak behind us?,2011-06-03
An introduction to crack spreads,2011-06-02
AEO Issues in Focus: Effects of different oil price paths,2011-05-27
U.S. oil rig count overtakes natural gas rig count,2011-05-09
Domestic oil production reversed decades-long decline in 2009 and 2010,2011-04-27
Price ratio of crude oil to natural gas increasing,2011-04-20
The outlook for transportation fuel markets this summer,2011-04-13
Retail prices: diesel outpaces gasoline,2011-04-12
January 2011 gasoline demand reduced by snowy weather,2011-04-08
Effects of crude oil supply disruptions: how long can they last?,2011-03-30
Liquid fuels production in Middle Eastern and North African countries,2011-03-28
Crude oil and condensate production rises at Bakken and other U.S. shale plays,2011-03-14
What we pay for in a gallon of regular gasoline,2011-03-11
Growth in liquids production puts Brazil on world energy stage,2011-03-09
Libyan supply disruption may have both direct and indirect effects,2011-03-07
Maritime chokepoints critical to petroleum markets,2011-03-02
Gasoline prices — second largest one-week increase since 1990,2011-03-01
WTI-Brent crude oil price spread has reached unseen levels,2011-02-28
Gasoline product supplied may reflect snowstorm effects on driving,2011-02-24
U.S. gasoline exports hit all-time high in November 2010,2011-02-22
