Fecha de publicación,Hora,Actual,Previsión,Anterior
09.08.2017,16:30,"-6,451M","-2,720M","-1,527M"
02.08.2017,16:30,"-1,527M","-2,957M","-7,208M"
26.07.2017,16:30,"-7,208M","-2,629M","-4,727M"
19.07.2017,16:30,"-4,727M","-3,214M","-7,564M"
12.07.2017,16:30,"-7,564M","-2,850M","-6,299M"
06.07.2017,17:00,"-6,299M","-2,283M","0,118M"
28.06.2017,16:30,"0,118M","-2,585M","-2,451M"
21.06.2017,16:30,"-2,451M","-2,106M","-1,661M"
14.06.2017,16:30,"-1,661M","-2,739M","3,295M"
07.06.2017,16:30,"3,295M","-3,464M","-6,428M"
01.06.2017,17:00,"-6,428M","-2,517M","-4,432M"
24.05.2017,16:30,"-4,432M","-2,419M","-1,753M"
17.05.2017,16:30,"-1,753M","-2,360M","-5,247M"
10.05.2017,16:30,"-5,247M","-1,786M","-0,930M"
03.05.2017,16:30,"-0,930M","-2,333M","-3,641M"
26.04.2017,16:30,"-3,641M","-1,661M","-1,034M"
19.04.2017,16:30,"-1,034M","-1,470M","-2,166M"
12.04.2017,16:30,"-2,166M","0,087M","1,566M"
05.04.2017,16:30,"1,566M","-0,435M","0,867M"
29.03.2017,16:30,"0,867M","1,357M","4,954M"
22.03.2017,16:30,"4,954M","2,801M","-0,237M"
15.03.2017,16:30,"-0,237M","3,713M","8,209M"
08.03.2017,17:30,"8,209M","1,967M","1,501M"
01.03.2017,17:30,"1,501M","3,079M","0,564M"
23.02.2017,18:00,"0,564M","3,475M","9,527M"
15.02.2017,17:30,"9,527M","3,513M","13,830M"
08.02.2017,17:30,"13,830M","2,529M","6,466M"
01.02.2017,17:30,"6,466M","3,289M","2,840M"
25.01.2017,17:30,"2,840M","2,815M","2,347M"
19.01.2017,18:00,"2,347M","-0,342M","4,097M"
11.01.2017,17:30,"4,097M","1,162M","-7,051M"
05.01.2017,18:00,"-7,051M","-2,152M","0,614M"
29.12.2016,18:00,"0,614M","-2,060M","2,256M"
21.12.2016,17:30,"2,256M","-2,515M","-2,563M"
14.12.2016,17:30,"-2,563M","-1,584M","-2,389M"
07.12.2016,17:30,"-2,389M","-1,032M","-0,884M"
30.11.2016,17:30,"-0,884M","0,636M","-1,255M"
23.11.2016,17:30,"-1,255M","0,671M","5,274M"
16.11.2016,17:30,"5,274M","1,480M","2,432M"
09.11.2016,17:30,"2,432M","1,330M","14,420M"
02.11.2016,16:30,"14,420M","1,013M","-0,553M"
26.10.2016,16:30,"-0,553M","1,699M","-5,200M"
19.10.2016,16:30,"-5,247M","2,705M","4,900M"
13.10.2016,17:00,"4,900M","0,650M","-2,976M"
05.10.2016,16:30,"-2,976M","2,560M","-1,882M"
28.09.2016,16:30,"-1,882M","2,995M","-6,200M"
21.09.2016,16:30,"-6,200M","3,350M","-0,559M"
14.09.2016,16:30,"-0,559M","3,800M","-14,513M"
08.09.2016,17:00,"-14,513M","0,225M","2,276M"
31.08.2016,16:30,"2,276M","0,921M","2,501M"
24.08.2016,16:30,"2,501M","-0,455M","-2,508M"
17.08.2016,16:30,"-2,508M","0,522M","1,055M"
10.08.2016,16:30,"1,055M","-1,025M","1,413M"
03.08.2016,16:30,"1,413M","-1,363M","1,671M"
27.07.2016,16:30,"1,671M","-2,257M","-2,342M"
20.07.2016,16:30,"-2,342M","-2,100M","-2,546M"
13.07.2016,16:30,"-2,546M","-2,950M","-2,223M"
07.07.2016,17:00,"-2,223M","-2,250M","-4,053M"
29.06.2016,16:30,"-4,053M","-2,365M","-0,917M"
22.06.2016,16:30,"-0,917M","-1,671M","-0,933M"
15.06.2016,16:30,"-0,933M","-2,260M","-3,226M"
08.06.2016,16:30,"-3,226M","-2,740M","-1,366M"
02.06.2016,17:00,"-1,366M","-2,490M","-4,226M"
25.05.2016,16:30,"-4,226M","-2,450M","1,310M"
18.05.2016,16:30,"1,310M","-2,833M","-3,410M"
11.05.2016,16:30,"-3,410M","0,714M","2,784M"
04.05.2016,16:30,"2,784M","1,695M","1,999M"
27.04.2016,16:30,"1,999M","2,366M","2,080M"
20.04.2016,16:30,"2,080M","2,400M","6,634M"
13.04.2016,16:30,"6,634M","1,850M","-4,937M"
06.04.2016,16:30,"-4,937M","3,150M","2,299M"
30.03.2016,16:30,"2,299M","3,300M","9,357M"
23.03.2016,16:30,"9,357M","3,090M","1,317M"
16.03.2016,16:30,"1,317M","3,414M","3,880M"
09.03.2016,17:30,"3,880M","3,867M","10,374M"
02.03.2016,17:30,"10,374M","3,604M","3,502M"
24.02.2016,17:30,"3,502M","3,427M","2,147M"
18.02.2016,18:00,"2,147M","3,920M","-0,754M"
10.02.2016,17:30,"-0,754M","3,550M","7,792M"
03.02.2016,17:30,"7,792M","4,760M","8,383M"
27.01.2016,17:30,"8,383M","3,277M","3,979M"
21.01.2016,18:00,"3,979M","2,811M","0,234M"
13.01.2016,17:30,"0,234M","2,504M","-5,085M"
06.01.2016,17:30,"-5,085M","0,439M","2,629M"
30.12.2015,17:30,"2,629M","-2,457M","-5,877M"
23.12.2015,17:30,"-5,877M","1,083M","4,801M"
16.12.2015,17:30,"4,801M","-1,417M","-3,568M"
09.12.2015,17:30,"-3,568M","0,252M","1,177M"
02.12.2015,17:30,"1,177M","-0,471M","0,961M"
25.11.2015,17:30,"0,961M","1,200M","0,252M"
18.11.2015,17:30,"0,252M","1,900M","4,224M"
12.11.2015,18:00,"4,224M","1,016M","2,847M"
04.11.2015,17:30,"2,847M","2,787M","3,376M"
28.10.2015,16:30,"3,376M","3,417M","8,028M"
21.10.2015,16:30,"8,028M","3,867M","7,562M"
15.10.2015,17:00,"7,562M","2,848M","3,073M"
07.10.2015,16:30,"3,073M","2,200M","3,955M"
30.09.2015,16:30,"3,955M","0,102M","-1,925M"
23.09.2015,16:30,"-1,925M","-0,533M","-2,104M"
16.09.2015,16:30,"-2,104M","1,173M","2,570M"
10.09.2015,17:00,"2,570M","0,933M","4,667M"
02.09.2015,16:30,"4,667M","0,032M","-5,452M"
26.08.2015,16:30,"-5,452M","1,022M","2,620M"
19.08.2015,16:30,"2,620M","-0,777M","-1,682M"
12.08.2015,16:30,"-1,682M","-1,817M","-4,407M"
05.08.2015,16:30,"-4,407M","-1,494M","-4,203M"
29.07.2015,16:30,"-4,203M","-0,184M","2,468M"
22.07.2015,16:30,"2,468M","-2,258M","-4,346M"
15.07.2015,16:30,"-4,346M","-1,158M","0,384M"
08.07.2015,16:30,"0,384M","-0,700M","2,386M"
01.07.2015,16:30,"2,386M","-2,000M","-4,934M"
24.06.2015,16:30,"-4,934M","-2,100M","-2,676M"
17.06.2015,16:30,"-2,676M","-1,657M","-6,812M"
10.06.2015,16:30,"-6,812M","-1,720M","-1,948M"
03.06.2015,16:30,"-1,948M","-1,700M","-2,802M"
28.05.2015,17:00,"-2,802M","-0,857M","-2,674M"
20.05.2015,16:30,"-2,674M","-1,029M","-2,191M"
13.05.2015,16:30,"-2,191M","0,386M","-3,882M"
06.05.2015,16:30,"-3,882M","1,500M","1,910M"
29.04.2015,16:30,"1,910M","2,300M","5,315M"
22.04.2015,16:30,"5,315M","2,888M","1,294M"
15.04.2015,16:30,"1,294M","4,057M","10,949M"
08.04.2015,16:30,"10,949M","3,429M","4,766M"
01.04.2015,16:30,"4,766M","4,193M","8,170M"
25.03.2015,16:30,"8,170M","5,133M","9,622M"
18.03.2015,16:30,"9,622M","3,750M","4,512M"
11.03.2015,16:30,"4,512M","4,436M","10,303M"
04.03.2015,17:30,"10,303M","4,157M","8,427M"
25.02.2015,17:30,"8,427M","3,983M","7,716M"
19.02.2015,18:00,"7,716M","3,233M","4,868M"
11.02.2015,17:30,"4,868M","3,733M","6,333M"
04.02.2015,17:30,"6,333M","3,467M","8,874M"
28.01.2015,17:30,"8,874M","4,080M","10,071M"
22.01.2015,18:00,"10,071M","2,617M","5,389M"
14.01.2015,17:30,"5,389M","0,417M","-3,062M"
07.01.2015,17:30,"-3,062M","0,880M","-1,754M"
31.12.2014,17:30,"-1,754M","-0,070M","7,267M"
24.12.2014,17:30,"7,267M","-2,280M","-0,847M"
17.12.2014,17:30,"-0,847M","-2,360M","1,454M"
10.12.2014,17:30,"1,454M","-2,240M","-3,689M"
03.12.2014,17:30,"-3,689M","1,300M","1,946M"
26.11.2014,17:30,"1,946M","0,467M","2,608M"
19.11.2014,17:30,"2,608M","-0,780M","-1,735M"
13.11.2014,18:00,"-1,735M","0,750M","0,460M"
05.11.2014,17:30,"0,460M","1,900M","2,061M"
29.10.2014,16:30,"2,061M","3,371M","7,111M"
22.10.2014,16:30,"7,111M","2,686M","8,923M"
16.10.2014,17:00,"8,923M","2,783M","5,015M"
08.10.2014,16:30,"5,015M","1,533M","-1,363M"
01.10.2014,16:30,"-1,363M","0,700M","-4,273M"
24.09.2014,16:30,"-4,273M","0,386M","3,673M"
17.09.2014,16:30,"3,673M","-1,614M","-0,972M"
10.09.2014,16:30,"-0,972M","-1,114M","-0,905M"
04.09.2014,17:00,"-0,905M","-1,113M","-2,070M"
27.08.2014,16:30,"-2,070M","-1,286M","-4,474M"
20.08.2014,16:30,"-4,474M","-1,163M","1,401M"
13.08.2014,16:30,"1,401M","-2,029M","-1,756M"
06.08.2014,16:30,"-1,756M","-1,711M","-3,697M"
30.07.2014,16:30,"-3,697M","-1,471M","-3,969M"
23.07.2014,16:30,"-3,969M","-2,786M","-7,525M"
16.07.2014,16:30,"-7,525M","-2,086M","-2,370M"
09.07.2014,16:30,"-2,370M","-2,150M","-3,155M"
02.07.2014,16:30,"-3,155M","-2,229M","1,742M"
25.06.2014,16:30,"1,742M","-1,557M","-0,579M"
18.06.2014,16:30,"-0,579M","-0,650M","-2,596M"
11.06.2014,16:30,"-2,596M","-1,871M","-3,431M"
04.06.2014,16:30,"-3,431M","-0,271M","1,657M"
29.05.2014,17:00,"1,657M","0,483M","-7,226M"
21.05.2014,16:30,"-7,226M","0,750M","0,947M"
14.05.2014,16:30,"0,947M","-0,100M","-1,781M"
07.05.2014,16:30,"-1,781M","1,417M","1,698M"
30.04.2014,16:30,"1,698M","2,367M","3,524M"
23.04.2014,16:30,"3,524M","2,275M","10,013M"
16.04.2014,16:30,"10,013M","2,250M","4,030M"
09.04.2014,16:30,"4,030M","1,329M","-2,379M"
02.04.2014,16:30,"-2,379M","1,086M","6,619M"
26.03.2014,16:30,"6,619M","2,743M","5,850M"
19.03.2014,16:30,"5,850M","2,608M","6,180M"
12.03.2014,16:30,"6,180M","2,150M","1,429M"
05.03.2014,17:30,"1,429M","1,333M","0,068M"
26.02.2014,17:30,"0,068M","1,236M","0,973M"
20.02.2014,18:00,"0,973M","2,013M","3,267M"
12.02.2014,17:30,"3,267M","2,650M","0,440M"
05.02.2014,17:30,"0,440M","2,300M","6,421M"
29.01.2014,17:30,"6,421M","2,338M","0,990M"
23.01.2014,18:00,"0,990M","0,588M","-7,658M"
15.01.2014,17:30,"-7,658M","-0,613M","-2,675M"
08.01.2014,17:30,"-2,675M","-0,894M","-7,007M"
03.01.2014,18:00,"-7,007M","-2,975M","-4,731M"
27.12.2013,18:00,"-4,731M","-2,320M","-2,941M"
18.12.2013,17:30,"-2,941M","-2,300M","-10,585M"
11.12.2013,17:30,"-10,585M","-2,950M","-5,585M"
04.12.2013,17:30,"-5,585M","-0,500M","2,953M"
27.11.2013,17:30,"2,953M","0,606M","0,375M"
20.11.2013,17:30,"0,375M","0,900M","2,640M"
14.11.2013,18:00,"2,640M","0,994M","1,577M"
06.11.2013,17:30,"1,577M","1,631M","4,087M"
30.10.2013,16:30,"4,087M","2,233M","5,246M"
23.10.2013,16:30,"5,246M","2,938M","3,999M"
21.10.2013,16:30,"3,999M","2,164M","6,807M"
09.10.2013,16:30,"6,807M","1,486M","5,472M"
02.10.2013,16:30,"5,472M","2,265M","2,635M"
25.09.2013,16:30,"2,635M","-1,129M","-4,368M"
18.09.2013,16:30,"-4,368M","-1,394M","-0,219M"
11.09.2013,16:30,"-0,219M","-1,500M","-1,836M"
05.09.2013,17:00,"-1,836M","-1,263M","2,986M"
28.08.2013,16:30,"2,986M","0,200M","-1,428M"
21.08.2013,16:30,"-1,428M","-0,957M","-2,812M"
14.08.2013,16:30,"-2,812M","-1,511M","-1,320M"
07.08.2013,16:30,"-1,320M","-1,238M","0,431M"
31.07.2013,16:30,"0,431M","-2,306M","-2,825M"
24.07.2013,16:30,"-2,825M","-2,456M","-6,902M"
17.07.2013,16:30,"-6,902M","-2,007M","-9,874M"
10.07.2013,16:30,"-9,874M","-3,300M","-10,347M"
03.07.2013,16:30,"-10,347M","-2,317M","0,018M"
26.06.2013,16:30,"0,018M","-1,690M","0,313M"
19.06.2013,16:30,"0,313M","-0,544M","2,523M"
12.06.2013,16:30,"2,523M","-0,722M","-6,267M"
05.06.2013,16:30,"-6,267M","-0,356M","3,000M"
30.05.2013,17:00,"3,000M","-0,350M","-0,338M"
22.05.2013,16:30,"-0,338M","-0,778M","-0,624M"
15.05.2013,16:30,"-0,624M","0,330M","0,230M"
08.05.2013,16:30,"0,230M","1,905M","6,696M"
01.05.2013,16:30,"6,696M","1,013M","0,947M"
24.04.2013,16:30,"0,947M","1,513M","-1,233M"
17.04.2013,16:30,"-1,233M","1,350M","0,250M"
10.04.2013,16:30,"0,250M","1,400M","2,707M"
03.04.2013,16:30,"2,707M","2,200M","3,256M"
27.03.2013,16:30,"3,256M","0,705M","-1,314M"
20.03.2013,16:30,"-1,314M","2,017M","2,624M"
13.03.2013,16:30,"2,624M","2,338M","3,833M"
06.03.2013,17:30,"3,833M","0,526M","1,130M"
27.02.2013,17:30,"1,130M","2,413M","4,143M"
21.02.2013,18:00,"4,143M","1,800M","0,560M"
13.02.2013,17:30,"0,560M","2,350M","2,623M"
06.02.2013,17:30,"2,623M","2,771M","5,947M"
30.01.2013,17:30,"5,947M","2,583M","2,813M"
24.01.2013,18:00,"2,813M","1,750M","-0,951M"
16.01.2013,17:30,"-0,951M","2,271M","1,314M"
09.01.2013,17:30,"1,314M","1,469M","-11,120M"
04.01.2013,18:00,"-11,120M","-0,919M","-0,586M"
28.12.2012,18:00,"-0,586M","-1,857M","-0,964M"
19.12.2012,17:30,"-0,964M","-1,122M","0,843M"
12.12.2012,17:30,"0,843M","-2,343M","-2,357M"
05.12.2012,17:30,"-2,357M","-0,322M","-0,347M"
28.11.2012,17:30,"-0,347M","0,317M","-1,466M"
21.11.2012,17:30,"-1,466M","0,940M","1,089M"
15.11.2012,18:00,"1,089M","1,943M","1,766M"
07.11.2012,17:30,"1,766M","1,810M","-2,045M"
01.11.2012,17:00,"-2,045M","1,506M","5,896M"
24.10.2012,16:30,"5,896M","1,886M","2,860M"
17.10.2012,16:30,"2,860M","1,675M","1,672M"
11.10.2012,17:00,"1,672M","0,780M","-0,482M"
03.10.2012,16:30,"-0,482M","1,535M","-2,446M"
26.09.2012,16:30,"-2,446M","0,920M","8,534M"
19.09.2012,16:30,"8,534M","1,000M","1,994M"
12.09.2012,16:30,"1,994M","-2,588M","-7,426M"
06.09.2012,17:00,"-7,426M","-5,325M","3,778M"
29.08.2012,16:30,"3,778M","-1,480M","-5,412M"
22.08.2012,16:30,"-5,412M","-0,413M","-3,699M"
15.08.2012,16:30,"-3,699M","-1,730M","-3,729M"
08.08.2012,16:30,"-3,729M","-0,267M","-6,522M"
01.08.2012,16:30,"-6,522M","-0,709M","2,717M"
25.07.2012,16:30,"2,717M","-0,650M","-0,809M"
18.07.2012,16:30,"-0,809M","-1,150M","-4,696M"
11.07.2012,16:30,"-4,696M","-1,156M","-4,270M"
05.07.2012,17:00,"-4,270M","-1,929M","-0,133M"
27.06.2012,16:30,"-0,133M","-0,450M","2,861M"
20.06.2012,16:30,"2,861M","-1,110M","-0,191M"
13.06.2012,16:30,"-0,191M","-1,411M","-0,111M"
06.06.2012,16:30,"-0,111M","-0,488M","2,213M"
31.05.2012,17:00,"2,213M","0,558M","0,883M"
23.05.2012,16:30,"0,883M","0,950M","2,128M"
16.05.2012,16:30,"2,128M","1,736M","3,652M"
09.05.2012,16:30,"3,652M","1,971M","2,840M"
02.05.2012,16:30,"2,840M","2,489M","3,978M"
25.04.2012,16:30,"3,978M","2,650M","3,856M"
18.04.2012,16:30,"3,856M","1,363M","2,791M"
11.04.2012,16:30,"2,791M","2,125M","9,009M"
04.04.2012,16:30,"9,009M","2,214M","7,102M"
28.03.2012,16:30,"7,100M","2,500M","-1,200M"
21.03.2012,16:30,"-1,200M","2,200M","1,800M"
14.03.2012,16:30,"1,800M","2,000M","0,800M"
07.03.2012,17:30,"0,800M","1,500M","4,200M"
29.02.2012,17:30,"4,200M","1,200M","1,600M"
23.02.2012,18:00,"1,600M","1,000M","-0,200M"
15.02.2012,17:30,"-0,200M","1,700M","0,300M"
08.02.2012,17:30,"0,300M","2,500M","4,200M"
01.02.2012,17:30,"4,200M","3,000M","3,600M"
25.01.2012,17:30,"3,600M","0,900M","-3,400M"
19.01.2012,18:00,"-3,400M","2,900M","5,000M"
11.01.2012,17:30,"5,000M","1,000M","2,200M"
05.01.2012,18:00,"2,200M","-1,200M","3,900M"
29.12.2011,18:00,"3,900M","-2,500M","-10,600M"
21.12.2011,17:30,"-10,600M","-2,400M","-1,900M"
14.12.2011,17:30,"-1,900M","-2,000M","1,300M"
07.12.2011,17:30,"1,300M","-1,100M","3,900M"
30.11.2011,17:30,"3,900M","1,000M","-6,200M"
23.11.2011,17:30,"-6,200M","-0,500M","-1,100M"
16.11.2011,17:30,"-1,100M","-1,200M","-1,400M"
09.11.2011,17:30,"-1,400M","0,500M","1,800M"
02.11.2011,16:30,"1,800M","1,200M","4,700M"
26.10.2011,16:30,"4,700M","0,800M","-4,700M"
19.10.2011,16:30,"-4,700M","1,800M","1,300M"
13.10.2011,17:00,"1,300M","0,800M","-4,700M"
05.10.2011,16:30,"-4,700M","1,500M","1,900M"
28.09.2011,16:30,"1,900M","1,000M","-7,300M"
21.09.2011,16:30,"-7,300M","-1,500M","-6,700M"
14.09.2011,16:30,"-6,700M","-3,000M","-4,000M"
08.09.2011,17:00,"-4,000M","-2,200M","5,300M"
31.08.2011,16:30,"5,300M","0,900M","-2,200M"
24.08.2011,16:30,"-2,200M","0,800M","4,200M"
17.08.2011,16:30,"4,200M","-0,500M","-5,200M"
10.08.2011,16:30,"-5,200M","1,500M","1,000M"
03.08.2011,16:30,"1,000M","1,500M","2,300M"
27.07.2011,16:30,"2,300M","-1,500M","-3,700M"
20.07.2011,16:30,"-3,700M","-1,500M","-3,100M"
13.07.2011,16:30,"-3,100M","-2,000M","-0,900M"
07.07.2011,17:00,"-0,900M","-2,500M","-4,400M"
29.06.2011,16:30,"-4,400M","-1,500M","-1,700M"
22.06.2011,16:30,"-1,700M","-1,600M","-3,400M"
15.06.2011,16:30,"-3,400M","-1,500M","-4,800M"
08.06.2011,16:30,"-4,800M","-1,500M","2,900M"
02.06.2011,17:00,"2,900M","-1,800M","0,600M"
25.05.2011,16:30,"0,600M","-1,600M","0,000M"
18.05.2011,16:30,"0,000M","1,500M","3,800M"
11.05.2011,16:30,"3,800M","1,100M","3,400M"
04.05.2011,16:30,"3,400M","1,900M","6,200M"
27.04.2011,16:30,"6,200M","1,500M","-2,300M"
20.04.2011,16:30,"-2,300M","0,700M","1,600M"
13.04.2011,16:30,"1,600M","1,000M","2,000M"
06.04.2011,16:30,"2,000M","1,300M","2,900M"
30.03.2011,16:30,"2,900M","2,000M","2,100M"
23.03.2011,16:30,"2,100M","2,000M","1,700M"
16.03.2011,16:30,"1,700M","1,800M","2,500M"
09.03.2011,17:30,"2,500M","1,100M","-0,400M"
02.03.2011,17:30,"-0,400M","1,100M","0,800M"
24.02.2011,18:00,"0,800M","1,100M","0,900M"
16.02.2011,17:30,"0,900M","1,800M","1,900M"
09.02.2011,17:30,"1,900M","2,250M","2,600M"
02.02.2011,17:30,"2,600M","2,500M","4,800M"
26.01.2011,17:30,"4,800M","1,250M","2,600M"
20.01.2011,18:00,"2,600M","-1,100M","-2,200M"
12.01.2011,17:30,"-2,200M","0,400M","-4,200M"
05.01.2011,17:30,"-4,200M","-1,400M","-1,300M"
30.12.2010,18:00,"-1,300M","-2,800M","-5,300M"
22.12.2010,17:30,"-5,300M","-1,100M","-9,900M"
15.12.2010,17:30,"-9,900M","-2,700M","-3,800M"
08.12.2010,17:30,"-3,800M","-1,300M","1,100M"
01.12.2010,17:30,"1,100M","-0,800M","1,000M"
24.11.2010,17:30,"1,000M","-1,900M","-7,300M"
17.11.2010,17:30,"-7,300M","-0,500M","-3,300M"
10.11.2010,17:30,"-3,300M","1,100M","2,000M"
03.11.2010,16:30,"2,000M",,"5,000M"
27.10.2010,16:30,"5,000M",,"0,700M"
20.10.2010,16:30,"0,700M",,"-0,400M"
14.10.2010,17:00,"-0,400M",,"3,100M"
06.10.2010,16:30,"3,100M",,"-0,500M"
29.09.2010,16:30,"-0,500M",,"1,000M"
22.09.2010,16:30,"1,000M",,"-2,500M"
15.09.2010,16:30,"-2,500M",,"-1,900M"
09.09.2010,17:00,"-1,900M",,"3,400M"
01.09.2010,16:30,"3,400M",,"4,100M"
25.08.2010,16:30,"4,100M",,"-0,800M"
18.08.2010,16:30,"-0,800M",,"-3,000M"
11.08.2010,16:30,"-3,000M",,"-2,800M"
04.08.2010,16:30,"-2,800M",,"7,300M"
28.07.2010,16:30,"7,300M",,"0,400M"
21.07.2010,16:30,"0,400M",,"-5,100M"
14.07.2010,16:30,"-5,100M",,"-5,000M"
08.07.2010,17:00,"-5,000M",,"-2,000M"
30.06.2010,16:30,"-2,000M",,"2,000M"
23.06.2010,16:30,"2,000M",,"1,700M"
16.06.2010,16:30,"1,700M",,"-1,800M"
09.06.2010,16:30,"-1,800M",,"-1,900M"
03.06.2010,17:00,"-1,900M",,"2,400M"
26.05.2010,16:30,"2,400M",,"0,200M"
19.05.2010,16:30,"0,200M",,"1,900M"
12.05.2010,16:30,"1,900M",,"2,800M"
05.05.2010,16:30,"2,800M",,"1,900M"
